,ds,y
1,2018-01-01,2460
2,2018-01-02,3617
3,2018-01-03,3396
4,2018-01-04,3378
5,2018-01-05,3013
6,2018-01-06,3269
7,2018-01-07,2651
8,2018-01-08,2697
9,2018-01-09,2608
10,2018-01-10,4188
11,2018-01-11,3631
12,2018-01-12,3097
13,2018-01-13,3227
14,2018-01-14,3494
15,2018-01-15,3357
16,2018-01-16,2903
17,2018-01-17,2850
18,2018-01-18,3073
19,2018-01-19,2688
20,2018-01-20,3293
21,2018-01-21,3342
22,2018-01-22,3205
23,2018-01-23,2678
24,2018-01-24,3048
25,2018-01-25,2765
26,2018-01-26,2929
27,2018-01-27,2791
28,2018-01-28,2461
29,2018-01-29,2619
30,2018-01-30,2357
31,2018-01-31,2480
32,2018-02-01,2259
33,2018-02-02,2448
34,2018-02-03,2546
35,2018-02-04,2519
36,2018-02-05,2471
37,2018-02-06,2162
38,2018-02-07,2315
39,2018-02-08,2233
40,2018-02-09,2406
41,2018-02-10,2210
42,2018-02-11,2222
43,2018-02-12,2174
44,2018-02-13,2118
45,2018-02-14,2113
46,2018-02-15,2227
47,2018-02-16,1850
48,2018-02-17,1974
49,2018-02-18,2215
50,2018-02-19,2511
51,2018-02-20,2385
52,2018-02-21,2120
53,2018-02-22,2102
54,2018-02-23,1928
55,2018-02-24,2155
56,2018-02-25,2145
57,2018-02-26,2504
58,2018-02-27,2454
59,2018-02-28,2392
60,2018-03-01,2522
61,2018-03-02,2377
62,2018-03-03,2351
63,2018-03-04,2257
64,2018-03-05,2410
65,2018-03-06,2142
66,2018-03-07,2390
67,2018-03-08,2236
68,2018-03-09,2339
69,2018-03-10,2493
70,2018-03-11,2678
71,2018-03-12,2716
72,2018-03-13,2258
73,2018-03-14,2402
74,2018-03-15,2327
75,2018-03-16,2210
76,2018-03-17,2538
77,2018-03-18,2387
78,2018-03-19,2317
79,2018-03-20,2347
80,2018-03-21,2362
81,2018-03-22,2283
82,2018-03-23,2243
83,2018-03-24,2323
84,2018-03-25,2414
85,2018-03-26,2479
86,2018-03-27,2446
87,2018-03-28,2411
88,2018-03-29,2041
89,2018-03-30,2122
90,2018-03-31,2395
91,2018-04-01,2009
92,2018-04-02,2433
93,2018-04-03,2196
